"ticket_id","seat_id","board_id","alight_id","schedule_id","travel_agent","booking_date","passenger_id","gross_amount","confirmed"
1,151,10,62,1,16,"2020-07-30",2823,1100,1
2,152,61,67,1,19,"2020-07-23",638,1100,1
3,153,10,62,1,1,"2020-07-18",142,1100,1
4,154,65,66,1,0,"2020-09-03",1936,1100,1
5,155,61,65,1,0,"2020-09-03",1641,1100,1
6,156,62,67,1,5,"2020-07-22",189,1100,1
7,157,63,64,1,15,"2020-07-21",1744,1100,1
8,158,62,65,1,0,"2020-08-29",2246,1100,1
9,159,61,64,1,5,"2020-08-06",2572,1100,1
10,160,66,67,1,16,"2020-07-27",1808,1100,1
11,161,10,67,1,0,"2020-09-03",3347,1100,0
12,162,37,66,1,0,"2020-09-02",3091,1100,1
13,163,63,37,1,19,"2020-08-06",444,1100,1
14,164,64,65,1,0,"2020-08-30",3213,1100,1
15,165,37,66,1,0,"2020-08-31",346,1100,1
16,166,10,65,1,0,"2020-09-03",1048,1100,1
17,167,37,66,1,0,"2020-09-03",2010,1100,1
18,168,61,67,1,19,"2020-07-17",1426,1100,1
19,169,61,37,1,4,"2020-07-29",198,1100,1
20,170,62,66,1,0,"2020-09-03",172,1100,0
21,171,10,67,1,0,"2020-08-30",2750,1100,0
22,172,66,67,1,20,"2020-08-01",1624,1100,0
23,173,10,65,1,7,"2020-07-29",721,1100,1
24,174,63,65,1,18,"2020-07-30",457,1100,1
25,175,63,67,1,0,"2020-09-03",2921,1100,1
26,176,10,67,1,0,"2020-09-01",1071,1100,1
27,177,62,65,1,5,"2020-08-06",2627,1100,1
28,178,62,37,1,0,"2020-08-31",1925,1100,1
29,179,62,67,1,0,"2020-08-31",1356,1100,1
30,180,37,66,1,0,"2020-08-30",48,1100,1
31,181,37,66,1,20,"2020-08-06",2374,1100,1
32,182,63,67,1,0,"2020-09-01",1283,1100,1
33,183,61,67,1,0,"2020-09-01",2250,1100,1
34,184,61,65,1,8,"2020-08-01",3133,1100,1
35,185,37,64,1,14,"2020-08-06",3094,1100,1
36,186,66,67,1,0,"2020-08-29",1242,1100,1
37,187,61,67,1,0,"2020-09-02",2344,1100,1
38,188,61,67,1,5,"2020-07-31",524,1100,1
39,189,61,65,1,0,"2020-08-30",2392,1100,1
40,190,61,66,1,17,"2020-07-26",513,1100,1
41,191,10,37,1,0,"2020-09-02",870,1100,1
42,192,10,62,1,2,"2020-07-30",1834,1100,0
43,193,61,66,1,9,"2020-07-25",1337,1100,1
44,194,37,67,1,4,"2020-07-23",447,1100,1
45,195,61,64,1,10,"2020-08-02",495,1100,1
46,196,61,64,1,0,"2020-08-30",2037,1100,0
