"schedule_id","station_id","exp_arrival_time","exp_departure_time","actual_arrival_time","actual_departure_time"
1,10,"2020-09-05 03:40:00","2020-09-05 03:45:00","2020-09-05 03:40:00","2020-09-05 03:45:00"
1,37,"2020-09-05 07:20:00","2020-09-05 07:25:00","2020-09-05 07:20:00","2020-09-05 07:25:00"
1,61,"2020-09-05 03:00:00","2020-09-05 03:10:00","2020-09-05 03:00:00","2020-09-05 03:10:00"
1,62,"2020-09-05 05:10:00","2020-09-05 05:15:00","2020-09-05 05:10:00","2020-09-05 05:15:00"
1,63,"2020-09-05 06:10:00","2020-09-05 06:15:00","2020-09-05 06:10:00","2020-09-05 06:15:00"
1,64,"2020-09-05 09:50:00","2020-09-05 09:55:00","2020-09-05 09:50:00","2020-09-05 09:55:00"
1,65,"2020-09-05 10:35:00","2020-09-05 10:40:00","2020-09-05 10:35:00","2020-09-05 10:40:00"
1,66,"2020-09-05 12:00:00","2020-09-05 12:05:00","2020-09-05 12:00:00","2020-09-05 12:05:00"
1,67,"2020-09-05 13:00:00","2020-09-05 13:05:00","2020-09-05 13:00:00","2020-09-05 13:05:00"
2,10,"2020-09-05 22:30:00","2020-09-05 22:35:00","2020-09-05 22:30:00","2020-09-05 22:35:00"
2,37,"2020-09-05 18:50:00","2020-09-05 18:55:00","2020-09-05 18:50:00","2020-09-05 18:55:00"
2,61,"2020-09-05 23:10:00","2020-09-05 23:15:00","2020-09-05 23:10:00","2020-09-05 23:15:00"
2,62,"2020-09-05 21:00:00","2020-09-05 21:05:00","2020-09-05 21:00:00","2020-09-05 21:05:00"
2,63,"2020-09-05 20:00:00","2020-09-05 20:05:00","2020-09-05 20:00:00","2020-09-05 20:05:00"
2,64,"2020-09-05 16:15:00","2020-09-05 16:20:00","2020-09-05 16:15:00","2020-09-05 16:20:00"
2,65,"2020-09-05 15:35:00","2020-09-05 15:40:00","2020-09-05 15:35:00","2020-09-05 15:40:00"
2,66,"2020-09-05 14:00:00","2020-09-05 14:05:00","2020-09-05 14:00:00","2020-09-05 14:05:00"
2,67,"2020-09-05 13:30:00","2020-09-05 13:35:00","2020-09-05 13:30:00","2020-09-05 13:35:00"
3,10,"2020-09-12 03:40:00","2020-09-12 03:45:00","2020-09-12 03:40:00","2020-09-12 03:45:00"
3,37,"2020-09-12 07:20:00","2020-09-12 07:25:00","2020-09-12 07:20:00","2020-09-12 07:25:00"
3,61,"2020-09-12 03:00:00","2020-09-12 03:10:00","2020-09-12 03:00:00","2020-09-12 03:10:00"
3,62,"2020-09-12 05:10:00","2020-09-12 05:15:00","2020-09-12 05:10:00","2020-09-12 05:15:00"
3,63,"2020-09-12 06:10:00","2020-09-12 06:15:00","2020-09-12 06:10:00","2020-09-12 06:15:00"
3,64,"2020-09-12 09:50:00","2020-09-12 09:55:00","2020-09-12 09:50:00","2020-09-12 09:55:00"
3,65,"2020-09-12 10:35:00","2020-09-12 10:40:00","2020-09-12 10:35:00","2020-09-12 10:40:00"
3,66,"2020-09-12 12:00:00","2020-09-12 12:05:00","2020-09-12 12:00:00","2020-09-12 12:05:00"
3,67,"2020-09-12 13:00:00","2020-09-12 13:05:00","2020-09-12 13:00:00","2020-09-12 13:05:00"
4,10,"2020-09-12 22:30:00","2020-09-12 22:35:00","2020-09-12 22:30:00","2020-09-12 22:35:00"
4,37,"2020-09-12 18:50:00","2020-09-12 18:55:00","2020-09-12 18:50:00","2020-09-12 18:55:00"
4,61,"2020-09-12 23:10:00","2020-09-12 23:15:00","2020-09-12 23:10:00","2020-09-12 23:15:00"
4,62,"2020-09-12 21:00:00","2020-09-12 21:05:00","2020-09-12 21:00:00","2020-09-12 21:05:00"
4,63,"2020-09-12 20:00:00","2020-09-12 20:05:00","2020-09-12 20:00:00","2020-09-12 20:05:00"
4,64,"2020-09-12 16:15:00","2020-09-12 16:20:00","2020-09-12 16:15:00","2020-09-12 16:20:00"
4,65,"2020-09-12 15:35:00","2020-09-12 15:40:00","2020-09-12 15:35:00","2020-09-12 15:40:00"
4,66,"2020-09-12 14:00:00","2020-09-12 14:05:00","2020-09-12 14:00:00","2020-09-12 14:05:00"
4,67,"2020-09-12 13:30:00","2020-09-12 13:35:00","2020-09-12 13:30:00","2020-09-12 13:35:00"
5,10,"2020-09-19 03:40:00","2020-09-19 03:45:00","2020-09-19 03:40:00","2020-09-19 03:45:00"
